3.99 515.425 1.55024 0.0390818 2.36068e+11
4.05 498.175 1.52259 0.0375965 2.2204e+11
4.11 428.322 1.49647 0.0361739 2.09941e+11
4.17 396.482 1.47071 0.0348118 1.9931e+11
4.23 378.395 1.446 0.0335078 1.89732e+11
4.29 340.471 1.422 0.0322597 1.81106e+11
4.35 308.553 1.398 0.0310651 1.73317e+11
4.41 297.19 1.37417 0.0299219 1.661e+11
4.47 305.288 1.35139 0.0288278 1.5924e+11
4.53 290.69 1.32948 0.0277808 1.52711e+11
4.59 275.52 1.30757 0.0267786 1.46507e+11
4.65 272.263 1.28622 0.0258194 1.40659e+11
4.71 285.956 1.26656 0.0249011 1.3518e+11
4.77 267.491 1.24803 0.024022 1.30052e+11
4.83 254.282 1.2295 0.0231801 1.25218e+11
4.89 249.843 1.21097 0.0223738 1.20548e+11
4.95 244.955 1.19244 0.0216015 1.15964e+11
5.01 255.448 1.17444 0.0208615 1.11461e+11
5.07 254.293 1.15722 0.0201523 1.07073e+11
5.13 241.704 1.14026 0.0194725 1.02868e+11
5.19 228.764 1.1233 0.0188208 9.88788e+10
5.25 237.956 1.10708 0.0181958 9.50959e+10
5.31 231.915 1.09173 0.0175963 9.14901e+10
5.37 225.15 1.07653 0.0170211 8.80164e+10
5.43 217.976 1.06133 0.0164691 8.46486e+10
5.49 211.677 1.04613 0.0159391 8.13833e+10
5.55 226.353 1.03172 0.0154303 7.82322e+10
5.61 221.462 1.01825 0.0149415 7.52159e+10
5.67 210.742 1.00494 0.014472 7.2339e+10
5.73 201.575 0.991625 0.0140208 6.95945e+10
5.79 191.805 0.978312 0.013587 6.69761e+10
5.85 190.312 0.965234 0.01317 6.44772e+10
5.91 188.06 0.952625 0.0127689 6.20914e+10
5.97 180.234 0.94025 0.012383 5.98126e+10
6.03 191.237 0.928448 0.0120116 5.76237e+10
6.09 190.745 0.917333 0.0116542 5.55009e+10
6.15 184.795 0.906333 0.0113101 5.34354e+10
6.21 180.403 0.895333 0.0109787 5.14268e+10
6.27 173.96 0.884333 0.0106594 4.94779e+10
6.33 169.162 0.873333 0.0103518 4.75907e+10
6.39 162.983 0.862333 0.0100553 4.57639e+10
6.45 158.224 0.851333 0.00976945 4.39972e+10
6.51 171.868 0.841071 0.0094938 4.23084e+10
6.57 167.967 0.831692 0.00922792 4.07146e+10
6.63 157.14 0.822462 0.00897139 3.92141e+10
6.69 150.722 0.813231 0.00872382 3.77932e+10
6.75 163.227 0.804 0.00848485 3.63442e+10
6.81 178.987 0.794769 0.00825412 3.47648e+10
6.87 192.349 0.785538 0.00803128 3.30509e+10
6.93 200.994 0.776308 0.00781601 3.12355e+10
6.99 184.333 0.767151 0.00760802 2.94706e+10
7.05 176.883 0.758435 0.007407 2.78951e+10
7.11 153.808 0.750087 0.00721267 2.65149e+10
7.17 134.358 0.741739 0.00702478 2.53121e+10
7.23 130.064 0.733533 0.00684305 2.42268e+10
7.29 133.196 0.72575 0.00666726 2.32028e+10
7.35 125.176 0.71825 0.00649717 2.22339e+10
7.41 118.945 0.71075 0.00633256 2.13184e+10
7.47 112.288 0.70325 0.00617321 2.04513e+10
7.53 107.673 0.69575 0.00601893 1.96265e+10
7.59 104.48 0.688354 0.00586952 1.88417e+10
7.65 106.881 0.681268 0.0057248 1.80932e+10
7.71 104.232 0.67439 0.00558459 1.73672e+10
7.77 103.502 0.667512 0.00544872 1.66528e+10
7.83 101.137 0.660634 0.00531703 1.5949e+10
7.89 98.1554 0.653756 0.00518936 1.52636e+10
7.95 90.6748 0.646878 0.00506558 1.46142e+10
8.01 91.2037 0.64022 0.00494553 1.40088e+10
8.07 89.8449 0.634 0.00482908 1.34456e+10
8.13 93.1438 0.628 0.0047161 1.28966e+10
8.19 106.087 0.622 0.00460646 1.2299e+10
8.25 121.173 0.616 0.00450006 1.16172e+10
8.31 132.739 0.61 0.00439676 1.08554e+10
8.37 129.19 0.604 0.00429647 1.00697e+10
8.43 111.448 0.598055 0.00419908 9.35382e+09
8.49 101.766 0.592436 0.00410448 8.75356e+09
